lctn_pr,admin0,admin1,admin2,start_date,end_date,year,month,day,ipcc_region,ipcc_code,lon,lat
5445,BEN,collines,savalou,2012-09-24,2013-01-13,2012,9,24,Western-Africa,WAF,1.85911443745173,7.86455711369611
1355,BEN,donga,djougou,2012-09-10,2012-11-25,2012,9,10,Western-Africa,WAF,1.85060567719929,9.69079560536517
2959,BEN,oueme,aguegues,2010-01-11,2010-02-21,2010,1,11,Western-Africa,WAF,2.5267720223553,6.44692987567054
8311,BEN,oueme,bonou,2010-01-11,2010-02-21,2010,1,11,Western-Africa,WAF,2.47324352241359,6.88112295832215
13004,CMR,adamaoua,ngaoundereurbanhealthdistrict,2011-07-11,2011-10-23,2011,7,11,Central-Africa,CAF,13.5742899108697,7.2857552590786
13012,CMR,centre,bafiahealthdistrict,2011-10-31,2011-12-25,2011,10,31,Central-Africa,CAF,11.1422975217832,4.71586679693096
13035,CMR,centre,obalahealthdistrict,2011-03-14,2011-12-25,2011,3,14,Central-Africa,CAF,11.5369525587928,4.18393043867348
13054,CMR,farnorth,bogohealthdistrict,2011-08-15,2011-09-25,2011,8,15,Central-Africa,CAF,14.62937915268,10.7601822528205
13055,CMR,farnorth,bourhahealthdistrict,2014-07-07,2014-11-30,2014,7,7,Central-Africa,CAF,13.5689898741058,10.245688411856
15273,CMR,farnorth,fotokolhealthdistrict,2018-10-15,2018-12-09,2018,10,15,Central-Africa,CAF,14.2839859553513,12.4508684304542
13057,CMR,farnorth,goulfeyhealthdistrict,2011-06-27,2011-09-18,2011,6,27,Central-Africa,CAF,14.7358221553454,12.3793388191932
13058,CMR,farnorth,guerehealthdistrict,2010-06-07,2010-12-26,2010,6,7,Central-Africa,CAF,15.4122902756618,10.0717892624147
13058,CMR,farnorth,guerehealthdistrict,2011-04-25,2011-10-30,2011,4,25,Central-Africa,CAF,15.4122902756618,10.0717892624147
13059,CMR,farnorth,guidiguishealthdistrict,2010-09-20,2010-12-12,2010,9,20,Central-Africa,CAF,14.7391821728929,10.1008292301114
13060,CMR,farnorth,hinahealthdistrict,2010-06-28,2010-11-28,2010,6,28,Central-Africa,CAF,13.8448817182448,10.4082129129691
13060,CMR,farnorth,hinahealthdistrict,2014-06-23,2014-11-16,2014,6,23,Central-Africa,CAF,13.8448817182448,10.4082129129691
13061,CMR,farnorth,kaelehealthdistrict,2011-06-27,2011-11-27,2011,6,27,Central-Africa,CAF,14.4124735936231,10.1345836868717
13063,CMR,farnorth,kolofatahealthdistrict,2010-07-26,2010-12-12,2010,7,26,Central-Africa,CAF,14.041119931475,11.1516402282916
13083,CMR,farnorth,kousserihealthdistrict,2010-09-13,2011-01-30,2010,9,13,Central-Africa,CAF,14.9156802035221,11.7664037142439
13083,CMR,farnorth,kousserihealthdistrict,2011-04-11,2011-10-30,2011,4,11,Central-Africa,CAF,14.9156802035221,11.7664037142439
13064,CMR,farnorth,kozahealthdistrict,2010-06-14,2010-11-07,2010,6,14,Central-Africa,CAF,13.8872163007986,10.9474840116083
13064,CMR,farnorth,kozahealthdistrict,2014-07-21,2014-11-16,2014,7,21,Central-Africa,CAF,13.8872163007986,10.9474840116083
13065,CMR,farnorth,madahealthdistrict,2010-08-09,2010-12-26,2010,8,9,Western-Africa,WAF,14.358117708914,12.8406775638061
