admin1,MMWRyear,MMWRweek,,
Bas-Uele,2020,16,,
Bas-Uele,2020,15,,
Bas-Uele,2020,15,,
Bas-Uele,2020,13,,
Bas-Uele,2020,13,,
Bas-Uele,2020,11,,
Bas-Uele,2020,11,,
Bas-Uele,2020,10,,
Bas-Uele,2020,9,,
Bas-Uele,2020,7,,
Bas-Uele,2020,4,,
Bas-Uele,2019,50,,
Bas-Uele,2019,41,,
Bas-Uele,2019,27,,
Bas-Uele,2019,23,,
Bas-Uele,2019,21,,
Bas-Uele,2019,14,,
Bas-Uele,2019,14,,
Bas-Uele,2019,13,,
Bas-Uele,2019,13,,
Bas-Uele,2019,12,,
Bas-Uele,2019,12,,
Bas-Uele,2019,12,,
Bas-Uele,2019,12,,
Bas-Uele,2019,10,,
Bas-Uele,2019,10,,
Bas-Uele,2019,8,,
Bas-Uele,2019,6,,
Bas-Uele,2019,2,,
Bas-Uele,2018,52,,
Bas-Uele,2018,51,,
Bas-Uele,2018,46,,
Bas-Uele,2018,46,,
Bas-Uele,2018,42,,
Bas-Uele,2018,42,,
Bas-Uele,2018,37,,
Bas-Uele,2018,36,,
Bas-Uele,2018,36,,
Bas-Uele,2018,35,,
Bas-Uele,2018,35,,
Bas-Uele,2018,35,,
Bas-Uele,2018,35,,
Bas-Uele,2018,27,,
Bas-Uele,2018,25,,
Bas-Uele,2018,24,,
Bas-Uele,2018,23,,
Bas-Uele,2018,21,,
Bas-Uele,2018,21,,
Bas-Uele,2018,20,,
Bas-Uele,2018,20,,
Bas-Uele,2018,17,,
Bas-Uele,2018,15,,
Bas-Uele,2018,14,,
Bas-Uele,2018,13,,
Bas-Uele,2018,12,,
Bas-Uele,2018,12,,
Bas-Uele,2018,12,,
Bas-Uele,2018,11,,
Bas-Uele,2018,10,,
Bas-Uele,2018,7,,
Bas-Uele,2018,7,,
Bas-Uele,2018,7,,
Bas-Uele,2018,7,,
Bas-Uele,2018,4,,
Bas-Uele,2018,3,,
Bas-Uele,2018,3,,
Bas-Uele,2018,2,,
Bas-Uele,2017,40,,
Bas-Uele,2017,29,,
Bas-Uele,2017,29,,
Bas-Uele,2017,25,,
Bas-Uele,2017,25,,
Bas-Uele,2017,25,,
Bas-Uele,2017,24,,
Bas-Uele,2017,23,,
Bas-Uele,2017,22,,
Bas-Uele,2017,20,,
Bas-Uele,2017,19,,
Bas-Uele,2017,10,,
Bas-Uele,2017,10,,
Bas-Uele,2017,8,,
Bas-Uele,2017,4,,
Bas-Uele,2017,3,,
Bas-Uele,2017,2,,
Bas-Uele,2017,1,,
Bas-Uele,2016,52,,
Bas-Uele,2016,23,,
Bas-Uele,2016,22,,
Bas-Uele,2016,12,,
Bas-Uele,2016,5,,
Bas-Uele,2015,52,,
Bas-Uele,2015,51,,
Bas-Uele,2015,50,,
Bas-Uele,2015,46,,
Bas-Uele,2015,44,,
Bas-Uele,2015,44,,
Bas-Uele,2015,44,,
Bas-Uele,2015,38,,
Bas-Uele,2015,36,,
Bas-Uele,2015,21,,
Bas-Uele,2015,15,,
Bas-Uele,2015,13,,
Bas-Uele,2015,12,,
Bas-Uele,2015,11,,
Bas-Uele,2015,7,,
Bas-Uele,2015,5,,
Bas-Uele,2015,2,,
Bas-Uele,2014,49,,
Bas-Uele,2014,47,,
Bas-Uele,2014,35,,
Bas-Uele,2014,35,,
Bas-Uele,2014,34,,
Bas-Uele,2014,34,,
Bas-Uele,2014,34,,
Bas-Uele,2014,33,,
Bas-Uele,2014,33,,
Bas-Uele,2014,32,,
Bas-Uele,2014,32,,
Bas-Uele,2014,32,,
Bas-Uele,2014,32,,
Bas-Uele,2014,30,,
Bas-Uele,2014,27,,
Bas-Uele,2014,26,,
Bas-Uele,2014,23,,
Bas-Uele,2014,21,,
Bas-Uele,2014,19,,
Bas-Uele,2014,19,,
Bas-Uele,2014,18,,
Bas-Uele,2014,16,,
Bas-Uele,2014,16,,
Bas-Uele,2014,13,,
Bas-Uele,2014,12,,
Bas-Uele,2014,10,,
Bas-Uele,2014,10,,
Bas-Uele,2014,7,,
Bas-Uele,2014,6,,
Bas-Uele,2014,6,,
Bas-Uele,2014,6,,
Bas-Uele,2014,6,,
Bas-Uele,2014,5,,
Bas-Uele,2014,5,,
Bas-Uele,2014,5,,
Bas-Uele,2014,4,,
Bas-Uele,2014,4,,
Bas-Uele,2014,2,,
Bas-Uele,2014,1,,
Bas-Uele,2013,50,,
Bas-Uele,2013,49,,
Bas-Uele,2013,49,,
Bas-Uele,2013,49,,
Bas-Uele,2013,45,,
Bas-Uele,2013,45,,
Bas-Uele,2013,45,,
Bas-Uele,2013,45,,
Bas-Uele,2013,45,,
Bas-Uele,2013,45,,
Bas-Uele,2013,34,,
Bas-Uele,2013,34,,
Bas-Uele,2013,24,,
Bas-Uele,2013,19,,
Bas-Uele,2013,14,,
Bas-Uele,2013,13,,
Bas-Uele,2013,11,,
Bas-Uele,2013,7,,
Bas-Uele,2013,3,,
Bas-Uele,2012,44,,
Bas-Uele,2012,42,,
Bas-Uele,2012,36,,
Bas-Uele,2012,25,,
Bas-Uele,2012,14,,
Bas-Uele,2012,14,,
Bas-Uele,2012,12,,
Bas-Uele,2012,5,,
Bas-Uele,2012,5,,
Bas-Uele,2011,37,,
Bas-Uele,2011,32,,
Bas-Uele,2011,27,,
Bas-Uele,2011,20,,
Bas-Uele,2011,20,,
Bas-Uele,2011,19,,
Bas-Uele,2011,18,,
Bas-Uele,2011,17,,
Bas-Uele,2011,11,,
Bas-Uele,2011,7,,
Bas-Uele,2011,7,,
Bas-Uele,2011,6,,
Bas-Uele,2010,22,,
Bas-Uele,2010,22,,
Bas-Uele,2010,17,,
Bas-Uele,2010,17,,
Bas-Uele,2010,13,,
Bas-Uele,2010,13,,
Bas-Uele,2010,9,,
Bas-Uele,2010,9,,
Bas-Uele,2010,8,,
Bas-Uele,2010,8,,
Bas-Uele,2010,6,,
Bas-Uele,2010,6,,
Bas-Uele,2010,6,,
Bas-Uele,2010,6,,
Bas-Uele,2010,6,,
Bas-Uele,2010,6,,
Bas-Uele,2010,6,,
Bas-Uele,2010,5,,
Bas-Uele,2010,5,,
Bas-Uele,2010,5,,
Bas-Uele,2010,5,,
Bas-Uele,2010,3,,
Bas-Uele,2010,2,,
Bas-Uele,2010,2,,
Equateur,2020,20,,
Equateur,2020,20,,
Equateur,2020,19,,
Equateur,2020,9,,
Equateur,2019,40,,
Equateur,2019,30,,
Equateur,2019,29,,
Equateur,2019,20,,
Equateur,2019,2,,
Equateur,2019,1,,
Equateur,2018,36,,
Equateur,2018,23,,
Equateur,2018,10,,
Equateur,2018,9,,
Equateur,2018,4,,
Equateur,2017,47,,
Equateur,2017,31,,
Equateur,2017,27,,
Equateur,2017,22,,
Equateur,2017,22,,
Equateur,2017,22,,
Equateur,2017,21,,
Equateur,2017,15,,
Equateur,2017,4,,
Equateur,2016,52,,
Equateur,2016,40,,
Equateur,2016,38,,
Equateur,2016,34,,
Equateur,2016,32,,
Equateur,2016,21,,
Equateur,2016,2,,
Equateur,2015,46,,
Equateur,2015,33,,
Equateur,2015,31,,
Equateur,2015,30,,
Equateur,2015,21,,
Equateur,2015,21,,
Equateur,2015,21,,
Equateur,2015,15,,
Equateur,2015,10,,
Equateur,2015,9,,
Equateur,2015,3,,
Equateur,2014,40,,
Equateur,2014,38,,
Equateur,2014,38,,
Equateur,2014,30,,
Equateur,2014,26,,
Equateur,2014,25,,
Equateur,2014,24,,
Equateur,2014,10,,
Equateur,2013,11,,
Equateur,2012,52,,
Equateur,2012,50,,
Equateur,2012,49,,
Equateur,2012,42,,
Equateur,2012,40,,
Equateur,2012,29,,
Equateur,2012,27,,
Equateur,2012,25,,
Equateur,2012,6,,
Equateur,2012,1,,
Equateur,2011,50,,
Equateur,2011,41,,
Equateur,2011,21,,
Equateur,2011,18,,
Equateur,2010,14,,
Equateur,2010,14,,
Equateur,2010,14,,
Equateur,2010,14,,
Equateur,2010,14,,
Equateur,2010,13,,
Haut-Katanga,2020,20,,
Haut-Katanga,2020,19,,
Haut-Katanga,2020,19,,
Haut-Katanga,2020,19,,
Haut-Katanga,2020,19,,
Haut-Katanga,2020,17,,
Haut-Katanga,2020,14,,
Haut-Katanga,2020,14,,
Haut-Katanga,2020,14,,
Haut-Katanga,2020,13,,
Haut-Katanga,2020,13,,
Haut-Katanga,2020,12,,
Haut-Katanga,2020,11,,
Haut-Katanga,2020,11,,
Haut-Katanga,2020,10,,
Haut-Katanga,2020,10,,
Haut-Katanga,2020,5,,
Haut-Katanga,2020,4,,
Haut-Katanga,2020,4,,
Haut-Katanga,2020,3,,
Haut-Katanga,2020,3,,
Haut-Katanga,2019,51,,
Haut-Katanga,2019,51,,
Haut-Katanga,2019,51,,
Haut-Katanga,2019,50,,
Haut-Katanga,2019,49,,
Haut-Katanga,2019,49,,
Haut-Katanga,2019,47,,
Haut-Katanga,2019,46,,
Haut-Katanga,2019,46,,
Haut-Katanga,2019,46,,
Haut-Katanga,2019,45,,
Haut-Katanga,2019,45,,
Haut-Katanga,2019,42,,
Haut-Katanga,2019,41,,
Haut-Katanga,2019,40,,
Haut-Katanga,2019,39,,
Haut-Katanga,2019,34,,
Haut-Katanga,2019,31,,
Haut-Katanga,2019,28,,
Haut-Katanga,2019,28,,
Haut-Katanga,2019,26,,
Haut-Katanga,2019,26,,
Haut-Katanga,2019,25,,
Haut-Katanga,2019,24,,
Haut-Katanga,2019,24,,
Haut-Katanga,2019,24,,
Haut-Katanga,2019,24,,
Haut-Katanga,2019,24,,
Haut-Katanga,2019,23,,
Haut-Katanga,2019,22,,
Haut-Katanga,2019,21,,
Haut-Katanga,2019,21,,
Haut-Katanga,2019,21,,
Haut-Katanga,2019,20,,
Haut-Katanga,2019,20,,
Haut-Katanga,2019,19,,
Haut-Katanga,2019,15,,
Haut-Katanga,2019,15,,
Haut-Katanga,2019,15,,
Haut-Katanga,2019,14,,
Haut-Katanga,2019,14,,
Haut-Katanga,2019,14,,
Haut-Katanga,2019,14,,
Haut-Katanga,2019,13,,
Haut-Katanga,2019,13,,
Haut-Katanga,2019,9,,
Haut-Katanga,2019,5,,
Haut-Katanga,2019,5,,
Haut-Katanga,2019,5,,
Haut-Katanga,2019,5,,
Haut-Katanga,2019,4,,
Haut-Katanga,2019,3,,
Haut-Katanga,2019,2,,
Haut-Katanga,2019,1,,
Haut-Katanga,2019,1,,
Haut-Katanga,2018,50,,
Haut-Katanga,2018,48,,
Haut-Katanga,2018,43,,
Haut-Katanga,2018,41,,
Haut-Katanga,2018,41,,
Haut-Katanga,2018,40,,
Haut-Katanga,2018,40,,
Haut-Katanga,2018,40,,
Haut-Katanga,2018,36,,
Haut-Katanga,2018,35,,
Haut-Katanga,2018,32,,
Haut-Katanga,2018,30,,
Haut-Katanga,2018,28,,
Haut-Katanga,2018,28,,
Haut-Katanga,2018,28,,
Haut-Katanga,2018,28,,
Haut-Katanga,2018,27,,
Haut-Katanga,2018,22,,
Haut-Katanga,2018,21,,
Haut-Katanga,2018,20,,
Haut-Katanga,2018,18,,
Haut-Katanga,2018,17,,
Haut-Katanga,2018,17,,
Haut-Katanga,2018,16,,
Haut-Katanga,2018,15,,
Haut-Katanga,2018,15,,
Haut-Katanga,2018,13,,
Haut-Katanga,2018,13,,
Haut-Katanga,2018,10,,
Haut-Katanga,2018,10,,
Haut-Katanga,2018,10,,
Haut-Katanga,2018,10,,
Haut-Katanga,2018,10,,
Haut-Katanga,2018,9,,
Haut-Katanga,2018,9,,
Haut-Katanga,2018,9,,
Haut-Katanga,2018,6,,
Haut-Katanga,2018,6,,
Haut-Katanga,2018,4,,
Haut-Katanga,2018,3,,
Haut-Katanga,2018,3,,
Haut-Katanga,2018,3,,
Haut-Katanga,2017,52,,
Haut-Katanga,2017,52,,
Haut-Katanga,2017,51,,
Haut-Katanga,2017,49,,
Haut-Katanga,2017,48,,
Haut-Katanga,2017,48,,
Haut-Katanga,2017,48,,
Haut-Katanga,2017,47,,
Haut-Katanga,2017,46,,
Haut-Katanga,2017,45,,
Haut-Katanga,2017,44,,
Haut-Katanga,2017,43,,
Haut-Katanga,2017,43,,
Haut-Katanga,2017,43,,
Haut-Katanga,2017,41,,
Haut-Katanga,2017,40,,
Haut-Katanga,2017,40,,
Haut-Katanga,2017,36,,
Haut-Katanga,2017,35,,
Haut-Katanga,2017,32,,
Haut-Katanga,2017,31,,
Haut-Katanga,2017,31,,
Haut-Katanga,2017,29,,
Haut-Katanga,2017,28,,
Haut-Katanga,2017,25,,
Haut-Katanga,2017,25,,
Haut-Katanga,2017,24,,
Haut-Katanga,2017,23,,
Haut-Katanga,2017,23,,
Haut-Katanga,2017,19,,
Haut-Katanga,2017,19,,
Haut-Katanga,2017,18,,
Haut-Katanga,2017,15,,
Haut-Katanga,2017,14,,
Haut-Katanga,2017,14,,
Haut-Katanga,2017,14,,
Haut-Katanga,2017,14,,
Haut-Katanga,2017,13,,
Haut-Katanga,2017,12,,
Haut-Katanga,2017,11,,
Haut-Katanga,2017,10,,
Haut-Katanga,2017,8,,
Haut-Katanga,2017,7,,
Haut-Katanga,2017,1,,
Haut-Katanga,2016,51,,
Haut-Katanga,2016,51,,
Haut-Katanga,2016,51,,
Haut-Katanga,2016,48,,
Haut-Katanga,2016,48,,
Haut-Katanga,2016,48,,
Haut-Katanga,2016,46,,
Haut-Katanga,2016,43,,
Haut-Katanga,2016,42,,
Haut-Katanga,2016,41,,
Haut-Katanga,2016,37,,
Haut-Katanga,2016,36,,
Haut-Katanga,2016,36,,
Haut-Katanga,2016,35,,
Haut-Katanga,2016,34,,
Haut-Katanga,2016,32,,
Haut-Katanga,2016,32,,
Haut-Katanga,2016,31,,
Haut-Katanga,2016,30,,
Haut-Katanga,2016,30,,
Haut-Katanga,2016,29,,
Haut-Katanga,2016,29,,
Haut-Katanga,2016,28,,
