epi_week_1,epi_week_2,,,
2010_1,1,,,
2010_2,2,,,
2010_3,3,,,
2010_4,4,,,
2010_5,5,,,
2010_6,6,,,
2010_7,7,,,
2010_8,8,,,
2010_9,9,,,
2010_10,10,,,
2010_11,11,,,
2010_12,12,,,
2010_13,13,,,
2010_14,14,,,
2010_15,15,,,
2010_16,16,,,
2010_17,17,,,
2010_18,18,,,
2010_19,19,,,
2010_20,20,,,
2010_21,21,,,
2010_22,22,,,
2010_23,23,,,
2010_24,24,,,
2010_25,25,,,
2010_26,26,,,
2010_27,27,,,
2010_28,28,,,
2010_29,29,,,
2010_30,30,,,
2010_31,31,,,
2010_32,32,,,
2010_33,33,,,
2010_34,34,,,
2010_35,35,,,
2010_36,36,,,
2010_37,37,,,
2010_38,38,,,
2010_39,39,,,
2010_40,40,,,
2010_41,41,,,
2010_42,42,,,
2010_43,43,,,
2010_44,44,,,
2010_45,45,,,
2010_46,46,,,
2010_47,47,,,
2010_48,48,,,
2010_49,49,,,
2010_50,50,,,
2010_51,51,,,
2010_52,52,,,
2011_1,53,,,
2011_2,54,,,
2011_3,55,,,
2011_4,56,,,
2011_5,57,,,
2011_6,58,,,
2011_7,59,,,
2011_8,60,,,
2011_9,61,,,
2011_10,62,,,
2011_11,63,,,
2011_12,64,,,
2011_13,65,,,
2011_14,66,,,
2011_15,67,,,
2011_16,68,,,
2011_17,69,,,
2011_18,70,,,
2011_19,71,,,
2011_20,72,,,
2011_21,73,,,
2011_22,74,,,
2011_23,75,,,
2011_24,76,,,
2011_25,77,,,
2011_26,78,,,
2011_27,79,,,
2011_28,80,,,
2011_29,81,,,
2011_30,82,,,
2011_31,83,,,
2011_32,84,,,
2011_33,85,,,
2011_34,86,,,
2011_35,87,,,
2011_36,88,,,
2011_37,89,,,
2011_38,90,,,
2011_39,91,,,
2011_40,92,,,
2011_41,93,,,
2011_42,94,,,
2011_43,95,,,
2011_44,96,,,
2011_45,97,,,
2011_46,98,,,
2011_47,99,,,
