province,incidence,no_of_events,fatalities_total,obvs_start,obvs_end,outbreak,exp_start,exp_end
Bas-Uele,0.233418777710187,210,321,2010_1,2020_47,2017_8,2010_2,2020_16
Equateur,0.786456140696734,71,101,2010_1,2020_47,2011_27,2010_13,2020_20
Equateur,2.43726503031159,71,101,2010_1,2020_47,2011_32,2010_13,2020_20
Equateur,0.154295204746216,71,101,2010_1,2020_47,2011_34,2010_13,2020_20
Equateur,0.0104860818759565,71,101,2010_1,2020_47,2011_34,2010_13,2020_20
Equateur,2.17211696001955,71,101,2010_1,2020_47,2011_38,2010_13,2020_20
Equateur,3.58773801327367,71,101,2010_1,2020_47,2011_39,2010_13,2020_20
Equateur,4.55395555755823,71,101,2010_1,2020_47,2011_49,2010_13,2020_20
Equateur,0.00579535889404384,71,101,2010_1,2020_47,2012_7,2010_13,2020_20
Equateur,0.00289767944702192,71,101,2010_1,2020_47,2012_7,2010_13,2020_20
Equateur,0.133293254563008,71,101,2010_1,2020_47,2012_15,2010_13,2020_20
Equateur,17.8076890416732,71,101,2010_1,2020_47,2012_20,2010_13,2020_20
Equateur,3.15991943697741,71,101,2010_1,2020_47,2012_29,2010_13,2020_20
Equateur,0.00761526396910071,71,101,2010_1,2020_47,2016_14,2010_13,2020_20
Equateur,0.277957134872176,71,101,2010_1,2020_47,2016_19,2010_13,2020_20
Equateur,0.327456350671331,71,101,2010_1,2020_47,2016_21,2010_13,2020_20
Equateur,0.0393455305070203,71,101,2010_1,2020_47,2016_42,2010_13,2020_20
Equateur,0.0970530707321305,71,101,2010_1,2020_47,2017_11,2010_13,2020_20
Equateur,0.0868343733414858,71,101,2010_1,2020_47,2018_13,2010_13,2020_20
Equateur,0.0356853589074599,71,101,2010_1,2020_47,2018_38,2010_13,2020_20
Haut-Katanga,0.154885425519982,405,528,2010_1,2020_47,2010_45,2010_47,2020_20
Haut-Katanga,0.0854815436871467,405,528,2010_1,2020_47,2012_37,2010_47,2020_20
Haut-Katanga,0.130395575115987,405,528,2010_1,2020_47,2012_51,2010_47,2020_20
Haut-Katanga,11.828953362407,405,528,2010_1,2020_47,2013_1,2010_47,2020_20
Haut-Katanga,0.49047905187092,405,528,2010_1,2020_47,2013_4,2010_47,2020_20
Haut-Katanga,3.22314805515176,405,528,2010_1,2020_47,2013_6,2010_47,2020_20
Haut-Katanga,14.013687196312,405,528,2010_1,2020_47,2013_20,2010_47,2020_20
Haut-Katanga,8.40821231778721,405,528,2010_1,2020_47,2013_20,2010_47,2020_20
Haut-Katanga,2.8027374392624,405,528,2010_1,2020_47,2013_20,2010_47,2020_20
Haut-Katanga,0.700684359815601,405,528,2010_1,2020_47,2013_20,2010_47,2020_20
Haut-Katanga,1.25282363535029,405,528,2010_1,2020_47,2013_22,2010_47,2020_20
Haut-Katanga,1.25282363535029,405,528,2010_1,2020_47,2013_48,2010_47,2020_20
Haut-Katanga,0.613799499198466,405,528,2010_1,2020_47,2013_50,2010_47,2020_20
Haut-Katanga,0.0588574862245104,405,528,2010_1,2020_47,2013_50,2010_47,2020_20
Haut-Katanga,0.150472877284204,405,528,2010_1,2020_47,2014_7,2010_47,2020_20
Haut-Katanga,1.49117265777139,405,528,2010_1,2020_47,2014_9,2010_47,2020_20
Haut-Katanga,0.100315251522802,405,528,2010_1,2020_47,2014_9,2010_47,2020_20
Haut-Katanga,0.013556115070649,405,528,2010_1,2020_47,2014_9,2010_47,2020_20
Haut-Katanga,1.4288145284464,405,528,2010_1,2020_47,2014_17,2010_47,2020_20
Haut-Katanga,0.123360647142906,405,528,2010_1,2020_47,2014_29,2010_47,2020_20
Haut-Katanga,0.677805753532449,405,528,2010_1,2020_47,2014_35,2010_47,2020_20
Haut-Katanga,11.7938201114646,405,528,2010_1,2020_47,2014_51,2010_47,2020_20
Haut-Katanga,0.00393470777397528,405,528,2010_1,2020_47,2015_6,2010_47,2020_20
Haut-Katanga,0.0222966773858599,405,528,2010_1,2020_47,2015_51,2010_47,2020_20
Haut-Katanga,0.0275429544178269,405,528,2010_1,2020_47,2015_51,2010_47,2020_20
Haut-Katanga,0.107882906228927,405,528,2010_1,2020_47,2015_52,2010_47,2020_20
Haut-Katanga,1.96735388698764,405,528,2010_1,2020_47,2015_9,2010_47,2020_20
Haut-Katanga,2.62313851598352,405,528,2010_1,2020_47,2015_13,2010_47,2020_20
Haut-Katanga,0.393470777397528,405,528,2010_1,2020_47,2015_49,2010_47,2020_20
Haut-Katanga,5.98731366273238,405,528,2010_1,2020_47,2015_50,2010_47,2020_20
Haut-Katanga,0.236082466438517,405,528,2010_1,2020_47,2015_51,2010_47,2020_20
Haut-Katanga,0.0983676943493819,405,528,2010_1,2020_47,2015_51,2010_47,2020_20
Haut-Katanga,0.0577090473516374,405,528,2010_1,2020_47,2015_51,2010_47,2020_20
Haut-Katanga,0.0511512010616786,405,528,2010_1,2020_47,2015_51,2010_47,2020_20
Haut-Katanga,0.191650809889035,405,528,2010_1,2020_47,2016_1,2010_47,2020_20
Haut-Katanga,0.263995817595491,405,528,2010_1,2020_47,2016_14,2010_47,2020_20
Haut-Katanga,0.019032191417312,405,528,2010_1,2020_47,2018_47,2010_47,2020_20
Haut-Katanga,1.5024674282863,405,528,2010_1,2020_47,2019_3,2010_47,2020_20
Haut-Katanga,1.06808842486304,405,528,2010_1,2020_47,2019_5,2010_47,2020_20
