province,obvs_start,obvs_end,outbreak,exp_start,exp_end
Bas-Uele,2010_1,2020_47,2017_8,2010_2,2010_22
Bas-Uele,2010_1,2020_47,2017_8,2011_6,2011_20
Bas-Uele,2010_1,2020_47,2017_8,2011_27,2011_37
Bas-Uele,2010_1,2020_47,2017_8,2012_5,2012_5
Bas-Uele,2010_1,2020_47,2017_8,2012_12,2012_14
Bas-Uele,2010_1,2020_47,2017_8,2012_25,2012_25
Bas-Uele,2010_1,2020_47,2017_8,2012_36,2012_44
Bas-Uele,2010_1,2020_47,2017_8,2013_3,2013_24
Bas-Uele,2010_1,2020_47,2017_8,2013_34,2013_34
Bas-Uele,2010_1,2020_47,2017_8,2013_45 ,2014_35
Bas-Uele,2010_1,2020_47,2017_8,2014_47,2015_21
Bas-Uele,2010_1,2020_47,2017_8,2015_36,2016_5
Bas-Uele,2010_1,2020_47,2017_8,2016_12,2016_12
Bas-Uele,2010_1,2020_47,2017_8,2016_22,2016_23
Bas-Uele,2010_1,2020_47,2017_8,2016_52,2017_10
Bas-Uele,2010_1,2020_47,2017_8,2017_19,2017_29
Bas-Uele,2010_1,2020_47,2017_8,2017_40,2017_40
Bas-Uele,2010_1,2020_47,2017_8,2018_2,2018_27
Bas-Uele,2010_1,2020_47,2017_8,2018_35,2019_14
Bas-Uele,2010_1,2020_47,2017_8,2019_21,2019_27
Bas-Uele,2010_1,2020_47,2017_8,2019_41,2019_41
Bas-Uele,2010_1,2020_47,2017_8,2019_50,2020_16
Equateur,2010_1,2020_47,2011_27,2010_13,2010_14
Equateur,2010_1,2020_47,2011_27,2011_18,2011_21
Equateur,2010_1,2020_47,2011_27,2011_41,2011_41
Equateur,2010_1,2020_47,2011_27,2011_50,2012_6
Equateur,2010_1,2020_47,2011_27,2012_25,2012_29
Equateur,2010_1,2020_47,2011_27,2012_40,2012_42
Equateur,2010_1,2020_47,2011_27,2012_49,2012_52
Equateur,2010_1,2020_47,2011_27,2013_11,2013_11
Equateur,2010_1,2020_47,2011_27,2014_10,2014_10
Equateur,2010_1,2020_47,2011_27,2014_24,2014_30
Equateur,2010_1,2020_47,2011_27,2014_38,2014_40
Equateur,2010_1,2020_47,2011_27,2015_3,2015_21
Equateur,2010_1,2020_47,2011_27,2015_30,2015_33
Equateur,2010_1,2020_47,2011_27,2015_46,2015_46
Equateur,2010_1,2020_47,2011_27,2016_2,2016_2
Equateur,2010_1,2020_47,2011_27,2016_21,2016_21
Equateur,2010_1,2020_47,2011_27,2016_32,2016_40
Equateur,2010_1,2020_47,2011_27,2016_52,2017_4
Equateur,2010_1,2020_47,2011_27,2017_15,2017_31
Equateur,2010_1,2020_47,2011_27,2017_47,2017_47
Equateur,2010_1,2020_47,2011_27,2018_4,2018_10
Equateur,2010_1,2020_47,2011_27,2018_23,2018_23
Equateur,2010_1,2020_47,2011_27,2018_36,2018_36
Equateur,2010_1,2020_47,2011_27,2019_1,2019_2
