province,year,observation_start,observation_end,outbreak,exposure_start,exposure_end,incidence,no_of_events,fatalities_total
Haut-Katanga_10_1,2010,1,52,45,47,48,0.154885425519982,2,2
Sud-Kivu_10_1,2010,1,52,31,5,15,0.449167734007948,31,270
Sud-Kivu_10_1,2010,1,52,31,22,52,0.449167734007948,31,270
Sud-Kivu_10_2,2010,1,52,36,5,15,0.619541702079929,31,270
Sud-Kivu_10_2,2010,1,52,36,22,52,0.619541702079929,31,270
Sud-Kivu_10_3,2010,1,52,36,5,15,0.464656276559946,31,270
Sud-Kivu_10_3,2010,1,52,36,22,52,0.464656276559946,31,270
Sud-Kivu_10_4,2010,1,52,36,5,15,0.151787717009582,31,270
Sud-Kivu_10_4,2010,1,52,36,22,52,0.151787717009582,31,270
Sud-Kivu_10_5,2010,1,52,37,5,15,0.26330522338397,31,270
Sud-Kivu_10_5,2010,1,52,37,22,52,0.26330522338397,31,270
Tanganyika_10_1,2010,1,52,45,52,52,0.0635030244631927,1,0
Tanganyika_10_2,2010,1,52,40,52,52,0.309770851039964,1,0
Tshopo_10_1,2010,1,52,24,1,3,1.54885425519982,4,12
Tshopo_10_1,2010,1,52,24,10,10,1.54885425519982,4,12
Equateur_11_1,2011,1,52,27,18,21,0.786456140696734,5,0
Equateur_11_1,2011,1,52,27,41,41,0.786456140696734,5,0
Equateur_11_1,2011,1,52,27,50,50,0.786456140696734,5,0
Equateur_11_2,2011,1,52,32,18,21,2.43726503031159,5,0
Equateur_11_2,2011,1,52,32,41,41,2.43726503031159,5,0
Equateur_11_3,2011,1,52,32,50,50,2.43726503031159,5,0
Equateur_11_3,2011,1,52,34,18,21,0.154295204746216,5,0
Equateur_11_3,2011,1,52,34,41,41,0.154295204746216,5,0
Equateur_11_3,2011,1,52,34,50,50,0.154295204746216,5,0
Equateur_11_4,2011,1,52,34,18,21,0.0104860818759565,5,0
Equateur_11_4,2011,1,52,34,41,41,0.0104860818759565,5,0
Equateur_11_5,2011,1,52,34,50,50,0.0104860818759565,5,0
Equateur_11_5,2011,1,52,38,18,21,2.17211696001955,5,0
Equateur_11_5,2011,1,52,38,41,41,2.17211696001955,5,0
Equateur_11_6,2011,1,52,38,50,50,2.17211696001955,5,0
Equateur_11_6,2011,1,52,39,18,21,3.58773801327367,5,0
Equateur_11_6,2011,1,52,39,41,41,3.58773801327367,5,0
Equateur_11_7,2011,1,52,39,50,50,3.58773801327367,5,0
Equateur_11_7,2011,1,52,49,18,21,4.55395555755823,5,0
Equateur_11_7,2011,1,52,49,41,41,4.55395555755823,5,0
Equateur_11_8,2011,1,52,49,50,50,4.55395555755823,5,0
Ituri_11_1,2011,1,52,52,1,44,0.0254661988416085,52,11
Ituri_11_1,2011,1,52,52,51,51,0.0254661988416085,52,11
Kinshasa_11_1,2011,1,52,27,2,9,0.0524304093797823,43,58
Kinshasa_11_1,2011,1,52,27,16,51,0.0524304093797823,43,58
Kinshasa_11_2,2011,1,52,30,2,9,0.185753450374086,43,58
Kinshasa_11_2,2011,1,52,30,16,51,0.185753450374086,43,58
Kinshasa_11_3,2011,1,52,32,2,9,0.405961169769171,43,58
Kinshasa_11_3,2011,1,52,32,16,51,0.405961169769171,43,58
Kinshasa_11_4,2011,1,52,34,2,9,0.54078222246004,43,58
Kinshasa_11_4,2011,1,52,34,16,51,0.54078222246004,43,58
Kinshasa_11_5,2011,1,52,41,2,9,0.0254661988416085,43,58
Kinshasa_11_5,2011,1,52,41,16,51,0.0254661988416085,43,58
Kinshasa_11_6,2011,1,52,48,2,9,0.993181754822733,43,58
Kinshasa_11_6,2011,1,52,48,16,51,0.993181754822733,43,58
Kinshasa_11_7,2011,1,52,49,2,9,1.12350877242391,43,58
Kinshasa_11_7,2011,1,52,49,16,51,1.12350877242391,43,58
Kinshasa_11_8,2011,1,52,52,2,9,0.525802105494388,43,58
Kinshasa_11_8,2011,1,52,52,16,51,0.525802105494388,43,58
Kinshasa_11_9,2011,1,52,52,2,9,1.44258526379229,43,58
Kinshasa_11_9,2011,1,52,52,16,51,1.44258526379229,43,58
Maï-Ndombe_11_1,2011,1,52,24,17,17,0.723539649440995,2,3
Maï-Ndombe_11_1,2011,1,52,24,37,37,0.723539649440995,2,3
Maï-Ndombe_11_2,2011,1,52,25,17,17,1.25683181341821,2,3
Maï-Ndombe_11_2,2011,1,52,25,37,37,1.25683181341821,2,3
Maï-Ndombe_11_3,2011,1,52,27,17,17,1.90397286633438,2,3
Maï-Ndombe_11_3,2011,1,52,27,37,37,1.90397286633438,2,3
Maï-Ndombe_11_4,2011,1,52,27,17,17,1.8515424569546,2,3
Maï-Ndombe_11_4,2011,1,52,27,37,37,1.8515424569546,2,3
Maï-Ndombe_11_5,2011,1,52,32,17,17,2.40281076129059,2,3
Maï-Ndombe_11_5,2011,1,52,32,37,37,2.40281076129059,2,3
Maï-Ndombe_11_6,2011,1,52,34,17,17,2.46422924084977,2,3
Maï-Ndombe_11_6,2011,1,52,34,37,37,2.46422924084977,2,3
Maï-Ndombe_11_7,2011,1,52,49,17,17,3.44692491379654,2,3
Maï-Ndombe_11_7,2011,1,52,49,37,37,3.44692491379654,2,3
Nord-Kivu_11_1,2011,1,52,49,3,52,2.44325707709785,253,197
Sud-Kivu_11_1,2011,1,52,52,1,51,0.104860818759565,230,139
Sud-Kivu_11_2,2011,1,52,52,1,51,0.378996959230998,230,139
Tshopo_11_1,2011,1,52,9,7,10,5.83625356981805,22,19
Tshopo_11_1,2011,1,52,9,19,31,5.83625356981805,22,19
Tshopo_11_1,2011,1,52,9,43,50,5.83625356981805,22,19
Tshopo_11_2,2011,1,52,12,7,10,0.804432281055516,22,19
Tshopo_11_2,2011,1,52,12,19,31,0.804432281055516,22,19
Tshopo_11_2,2011,1,52,12,43,50,0.804432281055516,22,19
Tshopo_11_3,2011,1,52,14,7,10,1.39464888950221,22,19
Tshopo_11_3,2011,1,52,14,19,31,1.39464888950221,22,19
Tshopo_11_3,2011,1,52,14,43,50,1.39464888950221,22,19
Tshopo_11_4,2011,1,52,14,7,10,1.17743719350025,22,19
Tshopo_11_4,2011,1,52,14,19,31,1.17743719350025,22,19
Tshopo_11_4,2011,1,52,14,43,50,1.17743719350025,22,19
Tshopo_11_5,2011,1,52,30,7,10,2.09721637519129,22,19
Tshopo_11_5,2011,1,52,30,19,31,2.09721637519129,22,19
Tshopo_11_5,2011,1,52,30,43,50,2.09721637519129,22,19
Tshopo_11_6,2011,1,52,32,7,10,2.37584655075242,22,19
Tshopo_11_6,2011,1,52,32,19,31,2.37584655075242,22,19
Tshopo_11_6,2011,1,52,32,43,50,2.37584655075242,22,19
Tshopo_11_7,2011,1,52,39,7,10,2.38183859753868,22,19
Tshopo_11_7,2011,1,52,39,19,31,2.38183859753868,22,19
Tshopo_11_7,2011,1,52,39,43,50,2.38183859753868,22,19
Tshopo_11_8,2011,1,52,40,7,10,10.3512608232656,22,19
Tshopo_11_8,2011,1,52,40,19,31,10.3512608232656,22,19
Tshopo_11_8,2011,1,52,40,43,50,10.3512608232656,22,19
Equateur_12_1,2012,1,52,7,1,6,0.00579535889404384,10,4
Equateur_12_1,2012,1,52,7,25,29,0.00579535889404384,10,4
Equateur_12_1,2012,1,52,7,40,52,0.00579535889404384,10,4
Equateur_12_2,2012,1,52,7,1,6,0.00289767944702192,10,4
Equateur_12_2,2012,1,52,7,25,29,0.00289767944702192,10,4
Equateur_12_2,2012,1,52,7,40,52,0.00289767944702192,10,4
Equateur_12_3,2012,1,52,15,1,6,0.133293254563008,10,4
Equateur_12_3,2012,1,52,15,25,29,0.133293254563008,10,4
Equateur_12_3,2012,1,52,15,40,52,0.133293254563008,10,4
Equateur_12_4,2012,1,52,20,1,6,17.8076890416732,10,4
Equateur_12_4,2012,1,52,20,25,29,17.8076890416732,10,4
Equateur_12_4,2012,1,52,20,40,52,17.8076890416732,10,4
Equateur_12_5,2012,1,52,29,1,6,3.15991943697741,10,4
Equateur_12_5,2012,1,52,29,25,29,3.15991943697741,10,4
Equateur_12_5,2012,1,52,29,40,52,3.15991943697741,10,4
Haut-Katanga_12_1,2012,1,52,37,7,8,0.0854815436871467,27,27
Haut-Katanga_12_1,2012,1,52,37,16,34,0.0854815436871467,27,27
Haut-Katanga_12_1,2012,1,52,37,41,51,0.0854815436871467,27,27
Haut-Katanga_12_2,2012,1,52,51,7,8,0.130395575115987,27,27
Haut-Katanga_12_2,2012,1,52,51,16,34,0.130395575115987,27,27
Haut-Katanga_12_2,2012,1,52,51,41,51,0.130395575115987,27,27
Ituri_12_1,2012,1,52,1,1,51,6.80375134160747,87,131
Ituri_12_2,2012,1,52,1,1,51,0.233263195485265,87,131
Ituri_12_3,2012,1,52,2,1,51,0.0188349164056425,87,131
Ituri_12_4,2012,1,52,3,1,51,0.0724419861755481,87,131
Ituri_12_5,2012,1,52,3,1,51,0.751947816502189,87,131
Ituri_12_6,2012,1,52,7,1,51,1.67340988065516,87,131
Ituri_12_7,2012,1,52,7,1,51,1.29381387309529,87,131
Kinshasa_12_1,2012,1,52,3,4,12,0.508542742952347,27,1
Kinshasa_12_1,2012,1,52,3,19,52,0.508542742952347,27,1
Kinshasa_12_2,2012,1,52,5,4,12,1.59372369586206,27,1
Kinshasa_12_2,2012,1,52,5,19,52,1.59372369586206,27,1
Kinshasa_12_3,2012,1,52,15,4,12,0.531724178528523,27,1
Kinshasa_12_3,2012,1,52,15,19,52,0.531724178528523,27,1
Kinshasa_12_4,2012,1,52,26,4,12,0.0188349164056425,27,1
Kinshasa_12_4,2012,1,52,26,19,52,0.0188349164056425,27,1
Kongo-Central_12_1,2012,1,52,6,7,7,0.0724419861755481,5,0
Kongo-Central_12_1,2012,1,52,6,39,45,0.0724419861755481,5,0
Kongo-Central_12_2,2012,1,52,6,7,7,0.00289767944702192,5,0
Kongo-Central_12_2,2012,1,52,6,39,45,0.00289767944702192,5,0
Kongo-Central_12_3,2012,1,52,7,7,7,0.179656125715359,5,0
Kongo-Central_12_3,2012,1,52,7,39,45,0.179656125715359,5,0
Kongo-Central_12_4,2012,1,52,15,7,7,0.549110255210654,5,0
Kongo-Central_12_4,2012,1,52,15,39,45,0.549110255210654,5,0
Kongo-Central_12_5,2012,1,52,23,7,7,0.00434651917053288,5,0
Kongo-Central_12_5,2012,1,52,23,39,45,0.00434651917053288,5,0
Kongo-Central_12_6,2012,1,52,27,7,7,1.35321630175924,5,0
Kongo-Central_12_6,2012,1,52,27,39,45,1.35321630175924,5,0
Kongo-Central_12_7,2012,1,52,31,7,7,0.149230491521629,5,0
Kongo-Central_12_7,2012,1,52,31,39,45,0.149230491521629,5,0
Kongo-Central_12_8,2012,1,52,36,7,7,0.0695443067285261,5,0
Kongo-Central_12_8,2012,1,52,36,39,45,0.0695443067285261,5,0
Maï-Ndombe_12_1,2012,1,52,15,25,25,0.764987374013787,1,0
Nord-Kivu_12_1,2012,1,52,5,1,52,0.0333233136407521,556,697
Nord-Kivu_12_2,2012,1,52,30,1,52,0.533173018252034,556,697
Nord-Kivu_12_3,2012,1,52,33,1,52,0.144883972351096,556,697
Nord-Kivu_12_4,2012,1,52,34,1,52,0.07533966562257,556,697
Sud-Kivu_12_1,2012,1,52,1,1,52,0.0695443067285261,190,500
