admin1,MMWRyear,MMWRweek,,
Bas-Uele,2017,40,,
Bas-Uele,2017,29,,
Bas-Uele,2017,25,,
Bas-Uele,2017,24,,
Bas-Uele,2017,23,,
Bas-Uele,2017,22,,
Bas-Uele,2017,20,,
Bas-Uele,2017,19,,
Bas-Uele,2017,10,,
Bas-Uele,2017,8,,
Bas-Uele,2017,4,,
Bas-Uele,2017,3,,
Bas-Uele,2017,2,,
Bas-Uele,2017,1,,
Equateur,2011,50,,
Equateur,2011,41,,
Equateur,2011,21,,
Equateur,2011,18,,
Equateur,2012,52,,
Equateur,2012,50,,
Equateur,2012,49,,
Equateur,2012,42,,
Equateur,2012,40,,
Equateur,2012,29,,
Equateur,2012,27,,
Equateur,2012,25,,
Equateur,2012,6,,
Equateur,2012,1,,
Equateur,2016,52,,
Equateur,2016,40,,
Equateur,2016,38,,
Equateur,2016,34,,
Equateur,2016,32,,
Equateur,2016,21,,
Equateur,2016,2,,
Equateur,2017,47,,
Equateur,2017,31,,
Equateur,2017,27,,
Equateur,2017,22,,
Equateur,2017,21,,
Equateur,2017,15,,
Equateur,2017,4,,
Equateur,2018,36,,
Equateur,2018,23,,
Equateur,2018,10,,
Equateur,2018,9,,
Equateur,2018,4,,
Haut-Katanga,2010,48,,
Haut-Katanga,2010,47,,
Haut-Katanga,2012,51,,
Haut-Katanga,2012,50,,
Haut-Katanga,2012,49,,
Haut-Katanga,2012,48,,
Haut-Katanga,2012,47,,
Haut-Katanga,2012,46,,
Haut-Katanga,2012,43,,
Haut-Katanga,2012,41,,
Haut-Katanga,2012,34,,
Haut-Katanga,2012,32,,
Haut-Katanga,2012,31,,
Haut-Katanga,2012,29,,
Haut-Katanga,2012,27,,
Haut-Katanga,2012,23,,
Haut-Katanga,2012,22,,
Haut-Katanga,2012,16,,
Haut-Katanga,2012,8,,
Haut-Katanga,2012,7,,
Haut-Katanga,2013,52,,
Haut-Katanga,2013,51,,
Haut-Katanga,2013,49,,
Haut-Katanga,2013,48,,
Haut-Katanga,2013,44,,
Haut-Katanga,2013,43,,
Haut-Katanga,2013,42,,
Haut-Katanga,2013,39,,
Haut-Katanga,2013,37,,
Haut-Katanga,2013,33,,
Haut-Katanga,2013,32,,
Haut-Katanga,2013,31,,
Haut-Katanga,2013,28,,
Haut-Katanga,2013,26,,
Haut-Katanga,2013,25,,
Haut-Katanga,2013,20,,
Haut-Katanga,2013,19,,
Haut-Katanga,2013,18,,
Haut-Katanga,2013,17,,
Haut-Katanga,2013,16,,
Haut-Katanga,2013,15,,
Haut-Katanga,2013,14,,
Haut-Katanga,2013,12,,
Haut-Katanga,2013,10,,
Haut-Katanga,2013,9,,
Haut-Katanga,2013,8,,
Haut-Katanga,2013,7,,
Haut-Katanga,2013,6,,
Haut-Katanga,2013,5,,
Haut-Katanga,2013,4,,
Haut-Katanga,2013,2,,
Haut-Katanga,2013,1,,
Haut-Katanga,2014,53,,
Haut-Katanga,2014,52,,
Haut-Katanga,2014,51,,
Haut-Katanga,2014,47,,
Haut-Katanga,2014,45,,
Haut-Katanga,2014,44,,
Haut-Katanga,2014,43,,
Haut-Katanga,2014,41,,
Haut-Katanga,2014,40,,
Haut-Katanga,2014,39,,
Haut-Katanga,2014,38,,
Haut-Katanga,2014,37,,
Haut-Katanga,2014,36,,
Haut-Katanga,2014,35,,
Haut-Katanga,2014,33,,
Haut-Katanga,2014,32,,
Haut-Katanga,2014,31,,
Haut-Katanga,2014,30,,
Haut-Katanga,2014,28,,
Haut-Katanga,2014,27,,
Haut-Katanga,2014,25,,
Haut-Katanga,2014,24,,
Haut-Katanga,2014,22,,
Haut-Katanga,2014,20,,
Haut-Katanga,2014,19,,
Haut-Katanga,2014,18,,
Haut-Katanga,2014,17,,
Haut-Katanga,2014,16,,
Haut-Katanga,2014,15,,
Haut-Katanga,2014,13,,
Haut-Katanga,2014,12,,
Haut-Katanga,2014,11,,
Haut-Katanga,2014,9,,
Haut-Katanga,2014,8,,
Haut-Katanga,2014,7,,
Haut-Katanga,2014,5,,
Haut-Katanga,2014,4,,
Haut-Katanga,2014,2,,
Haut-Katanga,2014,1,,
Haut-Katanga,2015,52,,
Haut-Katanga,2015,50,,
Haut-Katanga,2015,48,,
Haut-Katanga,2015,46,,
Haut-Katanga,2015,45,,
Haut-Katanga,2015,44,,
Haut-Katanga,2015,43,,
Haut-Katanga,2015,38,,
Haut-Katanga,2015,37,,
Haut-Katanga,2015,35,,
Haut-Katanga,2015,33,,
Haut-Katanga,2015,27,,
Haut-Katanga,2015,21,,
Haut-Katanga,2015,20,,
Haut-Katanga,2015,19,,
Haut-Katanga,2015,17,,
Haut-Katanga,2015,12,,
Haut-Katanga,2015,11,,
Haut-Katanga,2015,9,,
Haut-Katanga,2015,8,,
Haut-Katanga,2015,7,,
Haut-Katanga,2015,4,,
Haut-Katanga,2015,3,,
Haut-Katanga,2016,51,,
Haut-Katanga,2016,48,,
Haut-Katanga,2016,46,,
Haut-Katanga,2016,43,,
Haut-Katanga,2016,42,,
Haut-Katanga,2016,41,,
Haut-Katanga,2016,37,,
Haut-Katanga,2016,36,,
Haut-Katanga,2016,35,,
Haut-Katanga,2016,34,,
Haut-Katanga,2016,32,,
Haut-Katanga,2016,31,,
Haut-Katanga,2016,30,,
Haut-Katanga,2016,29,,
Haut-Katanga,2016,28,,
Haut-Katanga,2016,27,,
Haut-Katanga,2016,25,,
Haut-Katanga,2016,19,,
Haut-Katanga,2016,17,,
Haut-Katanga,2016,16,,
Haut-Katanga,2016,13,,
Haut-Katanga,2016,10,,
Haut-Katanga,2016,7,,
Haut-Katanga,2016,3,,
Haut-Katanga,2016,1,,
Haut-Katanga,2018,50,,
Haut-Katanga,2018,48,,
Haut-Katanga,2018,43,,
Haut-Katanga,2018,41,,
Haut-Katanga,2018,40,,
Haut-Katanga,2018,36,,
Haut-Katanga,2018,35,,
Haut-Katanga,2018,32,,
Haut-Katanga,2018,30,,
Haut-Katanga,2018,28,,
Haut-Katanga,2018,27,,
Haut-Katanga,2018,22,,
Haut-Katanga,2018,21,,
Haut-Katanga,2018,20,,
Haut-Katanga,2018,18,,
Haut-Katanga,2018,17,,
Haut-Katanga,2018,16,,
Haut-Katanga,2018,15,,
Haut-Katanga,2018,13,,
Haut-Katanga,2018,10,,
Haut-Katanga,2018,9,,
Haut-Katanga,2018,6,,
Haut-Katanga,2018,4,,
Haut-Katanga,2018,3,,
Haut-Katanga,2019,51,,
Haut-Katanga,2019,50,,
Haut-Katanga,2019,49,,
Haut-Katanga,2019,47,,
Haut-Katanga,2019,46,,
Haut-Katanga,2019,45,,
Haut-Katanga,2019,42,,
Haut-Katanga,2019,41,,
Haut-Katanga,2019,40,,
Haut-Katanga,2019,39,,
Haut-Katanga,2019,34,,
Haut-Katanga,2019,31,,
Haut-Katanga,2019,28,,
Haut-Katanga,2019,26,,
Haut-Katanga,2019,25,,
Haut-Katanga,2019,24,,
Haut-Katanga,2019,23,,
Haut-Katanga,2019,22,,
Haut-Katanga,2019,21,,
Haut-Katanga,2019,20,,
Haut-Katanga,2019,19,,
Haut-Katanga,2019,15,,
Haut-Katanga,2019,14,,
Haut-Katanga,2019,13,,
Haut-Katanga,2019,9,,
Haut-Katanga,2019,5,,
Haut-Katanga,2019,4,,
Haut-Katanga,2019,3,,
Haut-Katanga,2019,2,,
Haut-Katanga,2019,1,,
Haut-Katanga,2020,20,,
Haut-Katanga,2020,19,,
Haut-Katanga,2020,17,,
Haut-Katanga,2020,14,,
Haut-Katanga,2020,13,,
Haut-Katanga,2020,12,,
Haut-Katanga,2020,11,,
Haut-Katanga,2020,10,,
Haut-Katanga,2020,5,,
Haut-Katanga,2020,4,,
Haut-Katanga,2020,3,,
Haut-Lomami,2014,49,,
Haut-Lomami,2014,43,,
Haut-Lomami,2014,38,,
Haut-Lomami,2014,37,,
Haut-Lomami,2014,31,,
Haut-Lomami,2014,30,,
Haut-Lomami,2014,29,,
Haut-Lomami,2014,14,,
Haut-Lomami,2014,11,,
Haut-Lomami,2014,9,,
Haut-Lomami,2016,44,,
Haut-Lomami,2016,42,,
Haut-Lomami,2016,38,,
Haut-Lomami,2016,33,,
Haut-Lomami,2016,24,,
Haut-Lomami,2016,23,,
Haut-Lomami,2017,51,,
Haut-Lomami,2017,21,,
Haut-Lomami,2017,15,,
Haut-Lomami,2017,12,,
Haut-Lomami,2019,48,,
Haut-Lomami,2019,45,,
Haut-Lomami,2019,29,,
Haut-Lomami,2020,19,,
Ituri,2011,51,,
Ituri,2011,44,,
Ituri,2011,43,,
Ituri,2011,42,,
Ituri,2011,41,,
Ituri,2011,40,,
Ituri,2011,39,,
Ituri,2011,38,,
Ituri,2011,37,,
Ituri,2011,36,,
Ituri,2011,34,,
Ituri,2011,31,,
Ituri,2011,30,,
Ituri,2011,27,,
Ituri,2011,23,,
Ituri,2011,22,,
Ituri,2011,21,,
Ituri,2011,20,,
Ituri,2011,19,,
Ituri,2011,18,,
Ituri,2011,16,,
Ituri,2011,14,,
Ituri,2011,13,,
Ituri,2011,9,,
Ituri,2011,8,,
Ituri,2011,3,,
Ituri,2011,2,,
Ituri,2011,1,,
Ituri,2012,51,,
Ituri,2012,50,,
Ituri,2012,49,,
Ituri,2012,48,,
Ituri,2012,47,,
Ituri,2012,46,,
Ituri,2012,45,,
Ituri,2012,44,,
Ituri,2012,43,,
Ituri,2012,42,,
Ituri,2012,39,,
Ituri,2012,38,,
Ituri,2012,37,,
Ituri,2012,36,,
Ituri,2012,35,,
Ituri,2012,34,,
Ituri,2012,33,,
Ituri,2012,32,,
Ituri,2012,31,,
Ituri,2012,30,,
Ituri,2012,28,,
Ituri,2012,27,,
Ituri,2012,26,,
Ituri,2012,24,,
Ituri,2012,22,,
Ituri,2012,21,,
Ituri,2012,20,,
Ituri,2012,18,,
Ituri,2012,15,,
Ituri,2012,11,,
Ituri,2012,10,,
Ituri,2012,8,,
Ituri,2012,7,,
Ituri,2012,1,,
Ituri,2013,50,,
Ituri,2013,48,,
Ituri,2013,47,,
Ituri,2013,46,,
Ituri,2013,44,,
Ituri,2013,43,,
Ituri,2013,42,,
Ituri,2013,41,,
Ituri,2013,40,,
Ituri,2013,39,,
Ituri,2013,38,,
Ituri,2013,35,,
Ituri,2013,34,,
Ituri,2013,33,,
Ituri,2013,32,,
Ituri,2013,31,,
Ituri,2013,29,,
Ituri,2013,27,,
Ituri,2013,26,,
Ituri,2013,23,,
Ituri,2013,21,,
Ituri,2013,18,,
Ituri,2013,16,,
Ituri,2013,15,,
Ituri,2013,14,,
Ituri,2013,11,,
Ituri,2013,9,,
Ituri,2013,8,,
Ituri,2013,7,,
Ituri,2013,6,,
Ituri,2013,4,,
Ituri,2013,2,,
Ituri,2015,52,,
Ituri,2015,51,,
Ituri,2015,50,,
Ituri,2015,49,,
Ituri,2015,48,,
Ituri,2015,46,,
Ituri,2015,45,,
Ituri,2015,44,,
Ituri,2015,43,,
Ituri,2015,42,,
Ituri,2015,41,,
Ituri,2015,40,,
Ituri,2015,39,,
Ituri,2015,38,,
Ituri,2015,36,,
Ituri,2015,35,,
Ituri,2015,34,,
Ituri,2015,31,,
Ituri,2015,30,,
Ituri,2015,29,,
Ituri,2015,28,,
Ituri,2015,27,,
Ituri,2015,26,,
Ituri,2015,24,,
Ituri,2015,23,,
Ituri,2015,22,,
Ituri,2015,21,,
Ituri,2015,20,,
Ituri,2015,19,,
Ituri,2015,18,,
Ituri,2015,17,,
Ituri,2015,16,,
Ituri,2015,15,,
Ituri,2015,14,,
Ituri,2015,13,,
Ituri,2015,12,,
Ituri,2015,11,,
Ituri,2015,10,,
Ituri,2015,9,,
Ituri,2015,8,,
Ituri,2015,7,,
Ituri,2015,6,,
Ituri,2015,5,,
Ituri,2015,4,,
Ituri,2015,2,,
Ituri,2016,52,,
Ituri,2016,49,,
Ituri,2016,48,,
Ituri,2016,46,,
Ituri,2016,45,,
Ituri,2016,44,,
Ituri,2016,43,,
Ituri,2016,42,,
Ituri,2016,41,,
Ituri,2016,40,,
Ituri,2016,37,,
Ituri,2016,36,,
Ituri,2016,35,,
Ituri,2016,34,,
Ituri,2016,33,,
Ituri,2016,31,,
Ituri,2016,30,,
Ituri,2016,29,,
Ituri,2016,28,,
Ituri,2016,27,,
Ituri,2016,26,,
Ituri,2016,25,,
Ituri,2016,23,,
Ituri,2016,22,,
Ituri,2016,21,,
Ituri,2016,20,,
Ituri,2016,19,,
Ituri,2016,18,,
Ituri,2016,16,,
Ituri,2016,15,,
Ituri,2016,14,,
Ituri,2016,13,,
